,supplier_id,operational_assement_score,working_capital_management_score,financing_structure_score,cash_flow_capacity_score,business_risk_score,total_scores,total_scores_scaled,risk_class,scoring_time
0,1,1.9500000000000002,1.7,6.38,3.0,3.4,3.266,0.6050318800620368,B,2022-07-22 10:52:39.028906
1,2,3.45,1.7,1.2100000000000002,6.6000000000000005,3.3,3.4170000000000003,0.6570739272789936,B,2022-07-22 10:52:39.028906
2,3,1.4500000000000002,1.55,1.4300000000000002,2.35,3.3,1.9685,0.1578493882474581,F,2022-07-22 10:52:39.028906
3,4,2.3500000000000005,1.7,1.2100000000000002,1.9500000000000002,4.5,2.2145,0.24263312079958638,Z,2022-07-22 10:52:39.028906
4,5,1.4500000000000002,1.7999999999999998,1.6500000000000001,2.2,2.0,1.8300000000000003,0.11011545752197142,F,2022-07-22 10:52:39.028906
5,6,2.6500000000000004,1.55,6.38,3.0,3.0999999999999996,3.331,0.6274340858176803,B,2022-07-22 10:52:39.028906
6,7,2.1500000000000004,1.7999999999999998,1.2100000000000002,2.6,3.7,2.237,0.25038773048423224,Z,2022-07-22 10:52:39.028906
7,8,1.4500000000000002,2.0,1.4300000000000002,1.4500000000000002,2.2,1.6685000000000003,0.05445459245217995,Z,2022-07-22 10:52:39.028906
8,9,1.35,1.65,1.6500000000000001,2.6,3.2,2.06,0.18938480096501803,F,2022-07-22 10:52:39.028906
9,10,1.4500000000000002,1.65,1.6500000000000001,2.6,4.2,2.23,0.24797518524900902,Z,2022-07-22 10:52:39.028906
10,11,4.5,1.55,6.16,3.0,4.1,3.807,0.7914871618128553,B,2022-07-22 10:52:39.028906
11,12,1.4500000000000002,1.55,0.9900000000000001,1.25,3.0999999999999996,1.5755,0.022402205755643535,Z,2022-07-22 10:52:39.028906
12,13,4.6,1.55,0.9900000000000001,5.550000000000001,2.6,3.2055000000000002,0.5841805962433223,C,2022-07-22 10:52:39.028906
13,14,1.75,1.55,1.6500000000000001,3.4,2.4,2.2,0.23763570566948128,Z,2022-07-22 10:52:39.028906
14,15,1.9500000000000002,1.4500000000000002,1.4300000000000002,5.4,3.3,2.8110000000000004,0.44821643977253145,C,2022-07-22 10:52:39.028906
15,16,1.4500000000000002,1.65,1.4300000000000002,2.2,3.6000000000000005,1.9960000000000002,0.16732724452869205,F,2022-07-22 10:52:39.028906
16,17,1.35,1.65,1.6500000000000001,2.65,2.8999999999999995,2.0275000000000003,0.1781836980871963,F,2022-07-22 10:52:39.028906
17,18,1.75,1.7999999999999998,1.4300000000000002,3.4,4.1,2.461,0.32758917801137327,D,2022-07-22 10:52:39.028906
18,19,3.1999999999999993,1.6,1.4300000000000002,3.4,3.5999999999999996,2.636,0.3879028088919524,D,2022-07-22 10:52:39.028906
19,20,3.45,1.55,1.6500000000000001,5.4,2.6000000000000005,3.0700000000000003,0.5374806134757883,C,2022-07-22 10:52:39.028906
20,21,1.4500000000000002,1.4500000000000002,1.2100000000000002,2.0,2.7000000000000006,1.727,0.07461657763225914,Z,2022-07-22 10:52:39.028906
21,22,1.35,1.6,0.9900000000000001,3.95,2.0000000000000004,2.0755,0.19472686541444068,F,2022-07-22 10:52:39.028906
22,23,1.9500000000000002,1.7,1.6500000000000001,4.75,4.8,2.9675000000000002,0.5021540582457349,C,2022-07-22 10:52:39.028906
23,24,2.5500000000000003,1.7,1.6500000000000001,4.199999999999999,3.4999999999999996,2.755,0.428916077890746,C,2022-07-22 10:52:39.028906
24,25,1.35,1.65,1.4300000000000002,2.0,3.0000000000000004,1.8360000000000003,0.11218335343787698,F,2022-07-22 10:52:39.028906
25,26,1.35,1.7999999999999998,1.6500000000000001,3.0,2.7,2.115,0.20834051352748575,Z,2022-07-22 10:52:39.028906
26,27,1.9500000000000002,1.6,1.4300000000000002,4.6,3.4,2.6559999999999997,0.3947957952783041,D,2022-07-22 10:52:39.028906
27,28,2.7500000000000004,1.4500000000000002,1.4300000000000002,5.4,4.2,3.1060000000000003,0.5498879889712217,C,2022-07-22 10:52:39.028906
28,29,1.35,1.7999999999999998,1.2100000000000002,2.1,3.7,1.9520000000000004,0.15216267447871795,F,2022-07-22 10:52:39.028906
29,30,1.55,2.0,1.6500000000000001,2.75,4.9,2.4625,0.3281061519903497,D,2022-07-22 10:52:39.028906
30,31,2.45,1.65,0.9900000000000001,2.9,4.0,2.343,0.28692055833189717,Z,2022-07-22 10:52:39.028906
31,32,2.25,1.55,0.9900000000000001,2.2,2.6000000000000005,1.8980000000000001,0.13355161123556777,F,2022-07-22 10:52:39.028906
32,33,1.4500000000000002,1.55,1.6500000000000001,3.8000000000000003,3.6,2.4200000000000004,0.31345855591935207,D,2022-07-22 10:52:39.028906
33,34,2.1500000000000004,1.7999999999999998,1.4300000000000002,1.9500000000000002,3.0999999999999996,2.0285,0.17852834740651385,F,2022-07-22 10:52:39.028906
34,35,1.4500000000000002,1.6,1.6500000000000001,3.8,2.8000000000000007,2.31,0.2755471307944166,Z,2022-07-22 10:52:39.028906
35,36,1.35,1.4500000000000002,1.4300000000000002,5.15,3.1,2.5985,0.37497845941754254,D,2022-07-22 10:52:39.028906
36,37,1.35,1.7,1.6500000000000001,5.050000000000001,2.7,2.607500000000001,0.3780803032914012,D,2022-07-22 10:52:39.028906
37,38,2.05,1.65,1.4300000000000002,1.7000000000000002,2.8,1.871,0.12424607961399269,F,2022-07-22 10:52:39.028906
38,39,1.65,1.7,1.6500000000000001,5.6000000000000005,2.9,2.8350000000000004,0.45648802343615374,C,2022-07-22 10:52:39.028906
39,40,2.45,1.4500000000000002,1.2100000000000002,3.2,2.9,2.257,0.2572807168705841,Z,2022-07-22 10:52:39.028906
40,41,1.75,1.4500000000000002,1.2100000000000002,2.35,3.7000000000000006,2.0245,0.17714975012924347,F,2022-07-22 10:52:39.028906
41,42,1.35,1.4500000000000002,1.6500000000000001,5.6000000000000005,4.0,2.89,0.47544373599862133,C,2022-07-22 10:52:39.028906
42,43,1.4500000000000002,1.7,0.9900000000000001,3.8000000000000003,4.5,2.4530000000000003,0.3248319834568327,D,2022-07-22 10:52:39.028906
43,44,2.1500000000000004,1.4500000000000002,1.6500000000000001,6.200000000000001,2.9,3.0350000000000006,0.5254178872996726,C,2022-07-22 10:52:39.028906
44,45,1.75,1.7,1.4300000000000002,2.6,3.5999999999999996,2.166,0.22591762881268299,Z,2022-07-22 10:52:39.028906
45,46,2.4000000000000004,1.4500000000000002,1.6500000000000001,6.0,3.1,3.065,0.5357573668792003,C,2022-07-22 10:52:39.028906
46,47,1.85,1.7500000000000002,1.2100000000000002,3.8,3.3,2.407,0.30897811476822323,D,2022-07-22 10:52:39.028906
47,48,2.85,1.55,1.43,3.8000000000000003,3.3000000000000003,2.611,0.37928657590901255,D,2022-07-22 10:52:39.028906
48,49,3.3500000000000005,1.7999999999999998,1.4300000000000002,3.4,3.4000000000000004,2.676,0.40168878166465616,C,2022-07-22 10:52:39.028906
49,50,3.8,1.5000000000000002,1.4300000000000002,5.4,4.199999999999999,3.326,0.6257108392210924,B,2022-07-22 10:52:39.028906
50,51,1.35,1.55,1.4300000000000002,3.8000000000000003,3.3999999999999995,2.326,0.2810615199034981,Z,2022-07-22 10:52:39.028906
51,52,1.9500000000000002,1.9000000000000001,4.950000000000001,4.500000000000001,4.300000000000001,3.5300000000000007,0.696019300361882,B,2022-07-22 10:52:39.028906
52,53,1.35,1.4500000000000002,1.4300000000000002,4.500000000000001,4.1,2.5860000000000003,0.3706703429260727,D,2022-07-22 10:52:39.028906
53,54,1.35,1.65,0.9900000000000001,2.25,3.8,1.9304999999999999,0.1447527141133895,F,2022-07-22 10:52:39.028906
54,55,1.35,1.65,1.4300000000000002,3.15,4.6,2.3635,0.29398586937790794,Z,2022-07-22 10:52:39.028906
55,56,4.4,1.7,1.6500000000000001,2.6,3.4000000000000004,2.71,0.4134068585214543,C,2022-07-22 10:52:39.028906
56,57,1.35,1.95,1.6500000000000001,3.0,3.1000000000000005,2.205,0.2393589522660692,Z,2022-07-22 10:52:39.028906
57,58,1.4500000000000002,1.9000000000000001,1.43,1.6500000000000001,3.3,1.8635000000000002,0.12166120971911078,F,2022-07-22 10:52:39.028906
58,59,1.4500000000000002,1.4500000000000002,1.6500000000000001,2.75,3.7,2.1525000000000003,0.22126486300189557,Z,2022-07-22 10:52:39.028906
59,60,5.0,1.55,6.38,2.6,3.3000000000000003,3.7310000000000003,0.7652938135447183,B,2022-07-22 10:52:39.028906
60,61,1.35,1.7500000000000002,1.2100000000000002,5.800000000000001,3.2,2.7920000000000003,0.4416681027054971,C,2022-07-22 10:52:39.028906
61,62,1.4500000000000002,1.55,1.4300000000000002,4.550000000000001,3.6,2.5635000000000003,0.36291573324142684,D,2022-07-22 10:52:39.028906
62,63,1.35,1.7,6.16,3.0,4.7,3.2970000000000006,0.6157160089608824,B,2022-07-22 10:52:39.028906
63,64,2.25,1.6,6.16,5.4,3.5,3.8770000000000002,0.815612614165087,A,2022-07-22 10:52:39.028906
64,65,1.4500000000000002,1.6,0.9900000000000001,2.2,3.1000000000000005,1.8230000000000002,0.10770291228674822,F,2022-07-22 10:52:39.028906
65,66,2.3500000000000005,1.65,1.6500000000000001,1.85,4.4,2.2525000000000004,0.25572979493365505,Z,2022-07-22 10:52:39.028906
66,67,1.4500000000000002,1.55,1.43,2.2,3.3000000000000003,1.931,0.14492503877304835,F,2022-07-22 10:52:39.028906
67,68,1.4500000000000002,1.65,4.950000000000001,2.2,3.6,2.7,0.4099603653282784,C,2022-07-22 10:52:39.028906
68,69,3.8,1.7999999999999998,1.6500000000000001,2.6,3.7,2.6550000000000002,0.3944511459589867,D,2022-07-22 10:52:39.028906
69,70,1.35,1.55,1.2100000000000002,1.7000000000000002,4.0,1.847,0.11597449595037042,F,2022-07-22 10:52:39.028906
70,71,1.4500000000000002,1.6,1.6500000000000001,3.85,4.3,2.5475000000000003,0.3574013441323453,D,2022-07-22 10:52:39.028906
71,72,1.35,1.65,1.2100000000000002,1.9500000000000002,4.2,1.9595000000000002,0.15474754437359986,F,2022-07-22 10:52:39.028906
72,73,1.35,1.7,1.2100000000000002,4.25,3.6999999999999997,2.4695,0.33051869722557287,D,2022-07-22 10:52:39.028906
73,74,1.4500000000000002,2.4,7.26,2.6,3.6,3.412,0.6553506806824054,B,2022-07-22 10:52:39.028906
74,75,1.4500000000000002,1.7,1.2100000000000002,2.9,3.1999999999999997,2.077,0.1952438393934171,F,2022-07-22 10:52:39.028906
75,76,5.1000000000000005,1.7,6.16,3.0,3.4,3.8520000000000003,0.806996381182147,A,2022-07-22 10:52:39.028906
76,77,2.3500000000000005,2.15,1.2100000000000002,6.2,3.7,3.2470000000000003,0.5984835429950025,C,2022-07-22 10:52:39.028906
77,78,2.7500000000000004,1.7999999999999998,1.2100000000000002,3.0,3.1,2.367,0.29519214199551946,Z,2022-07-22 10:52:39.028906
78,79,1.35,1.85,1.6500000000000001,4.4,3.0,2.5200000000000005,0.34792348785111155,D,2022-07-22 10:52:39.028906
79,80,1.35,1.7,5.0600000000000005,3.4,2.6999999999999997,2.8770000000000002,0.4709632948474926,C,2022-07-22 10:52:39.028906
80,81,1.4500000000000002,1.7,1.6500000000000001,4.6,3.9000000000000004,2.6950000000000003,0.4082371187316905,C,2022-07-22 10:52:39.028906
81,82,1.9500000000000002,1.7,1.2100000000000002,2.35,3.1,2.0245,0.17714975012924347,F,2022-07-22 10:52:39.028906
82,83,1.35,1.7999999999999998,1.4300000000000002,2.2,3.7,2.0210000000000004,0.17594347751163195,F,2022-07-22 10:52:39.028906
83,84,1.9500000000000002,1.6,1.4300000000000002,4.1,3.2,2.501,0.34137515078407704,D,2022-07-22 10:52:39.028906
84,85,1.35,1.55,6.16,2.25,3.3,2.8695000000000004,0.46837842495261073,C,2022-07-22 10:52:39.028906
85,86,1.85,1.7999999999999998,1.6500000000000001,2.6,4.0,2.31,0.2755471307944166,Z,2022-07-22 10:52:39.028906
